================================================================================
BICEP CURL METRICS - BOTH ARMS - USE THESE IN YOUR COUNTER
================================================================================

VIDEO INFO:
  Filename: Denise_Wide-Grip20Curl.mp4
  Frames Analyzed: 32

================================================================================
LEFT ARM - THRESHOLDS FOR COUNTER
================================================================================
  DOWN_THRESHOLD (arm extended): 171.93°
  UP_THRESHOLD (peak curl): 28.24°
  MIN_RANGE_OF_MOTION: 143.69°
  MAX_SHOULDER_MOVEMENT: 0.0105

LEFT ARM - INITIAL POSITION:
  Shoulder: x=0.5833, y=0.2528
  Elbow: x=0.5992, y=0.3857
  Wrist: x=0.6292, y=0.4984
  Elbow Angle: 171.93°

================================================================================
RIGHT ARM - THRESHOLDS FOR COUNTER
================================================================================
  DOWN_THRESHOLD (arm extended): 170.7°
  UP_THRESHOLD (peak curl): 28.99°
  MIN_RANGE_OF_MOTION: 143.01°
  MAX_SHOULDER_MOVEMENT: 0.005

RIGHT ARM - INITIAL POSITION:
  Shoulder: x=0.4276, y=0.2563
  Elbow: x=0.4194, y=0.388
  Wrist: x=0.3921, y=0.5075
  Elbow Angle: 170.7°


================================================================================
LEFT ARM - FRAME-BY-FRAME DATA
================================================================================
Frame    Time(s)    Elbow°     Shoulder°    Shoulder Drift 
--------------------------------------------------------------------------------
0        0.0        171.93     14.02        0.0019         
1        0.1        171.56     14.12        0.0047         
2        0.2        170.54     13.94        0.0075         
3        0.3        166.64     13.52        0.0097         
4        0.4        158.34     13.64        0.0104         
5        0.5        138.6      14.35        0.0105         
6        0.6        116.57     15.35        0.0103         
7        0.7        97.69      17.68        0.0105         
8        0.8        81.42      19.86        0.0089         
9        0.9        67.48      22.58        0.0078         
10       1.0        59.61      23.19        0.0072         
11       1.1        52.21      23.33        0.0067         
12       1.2        47.77      22.82        0.0059         
13       1.3        37.56      22.33        0.0057         
14       1.4        32.16      22.22        0.0056         
15       1.5        29.22      21.95        0.0056         
16       1.6        28.24      21.74        0.0055         
17       1.7        28.89      21.78        0.0054         
18       1.8        30.28      21.73        0.0053         
19       1.9        38.03      21.75        0.0053         
20       2.0        46.95      22.02        0.0054         
21       2.1        54.15      22.5         0.0058         
22       2.2        64.24      22.73        0.0063         
23       2.3        80.87      22.26        0.007          
24       2.4        99.17      20.59        0.0077         
25       2.5        117.88     17.71        0.0091         
26       2.6        134.0      15.82        0.01           
27       2.7        149.8      13.65        0.0102         
28       2.8        159.16     12.71        0.0102         
29       2.9        162.7      12.74        0.0099         
30       3.0        166.58     13.23        0.008          
31       3.1        166.0      12.97        0              

================================================================================
RIGHT ARM - FRAME-BY-FRAME DATA
================================================================================
Frame    Time(s)    Elbow°     Shoulder°    Shoulder Drift 
--------------------------------------------------------------------------------
0        0.0        170.7      11.64        0.001          
1        0.1        170.52     11.66        0.0017         
2        0.2        169.52     11.63        0.0026         
3        0.3        165.47     11.34        0.0034         
4        0.4        156.35     11.93        0.0039         
5        0.5        141.38     13.58        0.0035         
6        0.6        126.33     16.1         0.0004         
7        0.7        108.61     18.24        0.0017         
8        0.8        88.71      18.57        0.0023         
9        0.9        73.58      19.05        0.0032         
10       1.0        63.55      19.37        0.004          
11       1.1        58.88      19.51        0.0039         
12       1.2        49.21      19.4         0.0039         
13       1.3        39.86      18.82        0.0038         
14       1.4        31.66      18.33        0.0038         
15       1.5        29.56      18.18        0.0038         
16       1.6        28.99      18.08        0.0038         
17       1.7        29.21      18.07        0.0037         
18       1.8        30.59      17.85        0.0036         
19       1.9        38.19      17.84        0.004          
20       2.0        46.94      18.81        0.0044         
21       2.1        55.28      18.99        0.0048         
22       2.2        67.53      19.79        0.005          
23       2.3        85.97      19.88        0.0049         
24       2.4        107.31     20.16        0.0031         
25       2.5        130.86     20.31        0.0013         
26       2.6        142.27     19.38        0.0024         
27       2.7        157.04     17.48        0.0032         
28       2.8        167.91     15.25        0.0037         
29       2.9        172.0      13.75        0.0037         
30       3.0        171.78     12.83        0.0036         
31       3.1        170.68     12.14        0              
